custom_id,label_x,cause,effect,original_row_id,climate,health,intersection,date,text,replies,link,handle,n_replies,n_reposts,n_likes,n_bookmarks,n_views,language,text_en,original_row_id.1,name,Portfolio,Term Start,Term End,personal_twitter,institutional_twitter,label_y
11,0,,,94113,1,0,0,2022-04-22,"In the upcoming months, proposals under the European Green Deal - a roadmap for a climate-neutral Europe - will be debated in European Parliament. 

On #EarthDay, learn more about the EU’s answer to the climate crisis and the role of the Parliament ","1 repost, 2 likes",,Europarl_MT,,1.0,2.0,,,en,"In the upcoming months, proposals under the European Green Deal - a roadmap for a climate-neutral Europe - will be debated in European Parliament. 

On #EarthDay, learn more about the EU’s answer to the climate crisis and the role of the Parliament ",,,,,,,,1
12,0,,,22651,1,0,0,2024-02-12,"A look-back to last week & to our 2040 climate target recommendations. The EU  is leading on #climate action & we are committed to reaching #netzero by 2050.

Our new recommendations for 2040 act as a launch of the dialogue about the next steps in the #EUGreenDeal.","2 replies, 2 reposts, 8 likes, 1227 views",,KadriSimson,2.0,2.0,8.0,,1227.0,en,"A look-back to last week & to our 2040 climate target recommendations. The EU  is leading on #climate action & we are committed to reaching #netzero by 2050.

Our new recommendations for 2040 act as a launch of the dialogue about the next steps in the #EUGreenDeal.",,Kadri Simson,Energy,01/12/2019,30/11/2024,@KadriSimson,@EU_Commission,1
13,1,Improving the energy efficiency of buildings,reduce greenhouse gas emissions,102954,1,0,0,2022-09-24,"Îmbunătățirea eficienței energetice a clădirilor poate reduce emisiile de gaze cu efect de seră. Urmăriți povestea lui Mihai, un inginer și antreprenor din România, care conduce proiecte legate de construcția de case durabile, eficiente energetic, co-finanțate de UE .","1 reply, 11 likes",,Europarl_RO,1.0,,11.0,,,ro,"Improving the energy efficiency of buildings can reduce greenhouse gas emissions. Follow the story of Mihai, an engineer and entrepreneur from Romania, who leads projects related to the construction of sustainable houses, energy efficient, co-financed by the EU.",,,,,,,,1
14,0,,,37009,1,0,0,2024-12-05,Check out our infographics to discover greenhouse gas emissions by country and by sector in the EU as well as the world's top emitters ↓,"40 replies, 21 reposts, 41 likes, 3 bookmarks, 8245 views",,Europarl_EN,40.0,21.0,41.0,3.0,8245.0,en,Check out our infographics to discover greenhouse gas emissions by country and by sector in the EU as well as the world's top emitters ↓,,European Parliament,,,,,@Europarl_EN,1
15,0,,,37716,1,0,0,2022-12-05,"Freue mich über Besuch 
@OeParl
 Präsident Wolfgang Sobotka bei 
@Europarl_AT
.

Vertiefte Zusammenarbeit zwischen den Parlamenten vereinbart.

Menschen erwarten von uns Lösungen für Herausforderungen - von Inflation bis Klimawandel, Energiepreise und Sicherheit.","22 replies, 18 reposts, 92 likes",https://x.com/EP_President/status/1599861571635007489/photo/1,EP_President,22.0,18.0,92.0,,,de,"I'm happy about a visit 
@Oeparl
 President Wolfgang Sobotka at 
@Europarl_at
.

Increased cooperation between parliaments agreed.

People expect solutions for challenges - from inflation to climate change, energy prices and security.",,,,,,,,1
16,1,agreement on the above,"opens the way for the adoption of the Permitting Regulation, which will speed up the authorising of renewable energy sources, so that we can soon benefit from more affordable energy",7303,1,0,0,2022-12-15,"For Cyprus, agreement on the above also opens the way for the adoption of the Permitting Regulation, which will speed up the authorising of renewable energy sources, so that we can soon benefit from more affordable energy.
#EUCO","2 replies, 8 reposts, 18 likes",,AnastasiadesCY,2.0,8.0,18.0,,,en,"For Cyprus, agreement on the above also opens the way for the adoption of the Permitting Regulation, which will speed up the authorising of renewable energy sources, so that we can soon benefit from more affordable energy.
#EUCO",,,,,,,,1
17,0,,,49235,1,0,0,2022-02-18,"When it comes to #GlobalGateway investments in infrastructure, our top priority is energy. 

  #TeamEurope will support Africa by: 
 increasing renewable energy capacity, 
 better access to reliable energy,
 promoting sustainable energy use. 

#AfricaEU","5 replies, 36 reposts, 70 likes, 1 bookmark",https://x.com/EU_Commission/status/1494706191028600834/photo/1,EU_Commission,5.0,36.0,70.0,1.0,,en,"When it comes to #GlobalGateway investments in infrastructure, our top priority is energy. 

  #TeamEurope will support Africa by: 
 increasing renewable energy capacity, 
 better access to reliable energy,
 promoting sustainable energy use. 

#AfricaEU",,,,,,,,1
18,0,,,226111,1,0,0,2022-08-11,"Very good meeting with Foreign Minister of New Zealand 
@NanaiaMahuta
 and Associate Minister 
@AupitoWSio_MP
, discussed bilateral cooperation, regional issues, climate change, #Ukraine. Thanks for interesting  discussions and hospitality  ","2 replies, 12 reposts, 75 likes",https://x.com/edgarsrinkevics/status/1557560087434014720/photo/1,edgarsrinkevics,2.0,12.0,75.0,,,en,"Very good meeting with Foreign Minister of New Zealand 
@NanaiaMahuta
 and Associate Minister 
@AupitoWSio_MP
, discussed bilateral cooperation, regional issues, climate change, #Ukraine. Thanks for interesting  discussions and hospitality  ",,,,,,,,1
19,0,,,59294,1,0,0,2022-03-26,"Европейският парламент участва и тази година в инициативата Часът на Земята. 

Присъединете се към нас и милиони по целия свят в знак на солидарност от 20.30 ч. местно време.
 
Борбата с климатичните промени е наш дълг към бъдещите поколения.","1 reply, 1 repost, 4 likes",,Europarl_BG,1.0,1.0,4.0,,,bg,"The European Parliament also participated this year in the Earth Hour initiative. 

Join us and millions around the world as a sign of solidarity from 8.30pm local time.
 
Fighting climate change is our duty to future generations.",,,,,,,,1
20,1,The Net-Zero Industry Act will speed up and simplify permitting and funding. The Critical Raw Materials Act will help secure the critical materials needed for the digital and green transition.,Europe will be able to produce at least 40% of its clean tech by 2030.,99145,1,0,0,2023-03-15,"By 2030, we want Europe to be able to produce at least 40% of its clean tech.
 
The Net-Zero Industry Act will speed up and simplify permitting and funding.
 
The Critical Raw Materials Act will help secure the critical materials needed for the digital and green transition.","85 replies, 114 reposts, 416 likes, 5 bookmarks, 52718 views",https://x.com/vonderleyen/status/1635920402584141825/photo/1,vonderleyen,85.0,114.0,416.0,5.0,52718.0,en,"By 2030, we want Europe to be able to produce at least 40% of its clean tech.
 
The Net-Zero Industry Act will speed up and simplify permitting and funding.
 
The Critical Raw Materials Act will help secure the critical materials needed for the digital and green transition.",288781.0,,,,,,,1
21,0,,,57240,1,0,0,2023-10-04,"J'ai discuté de la #COP28 avec 
@bertrandpiccard
.

Sa fondation 
@solarimpulse
 a répertorié 1000 initiatives rentables pour lutter contre le réchauffement climatique.

Un point nous a mis d'accord : mieux vaut agir que paniquer.","12 replies, 5 reposts, 28 likes, 7589 views",https://x.com/alexanderdecroo/status/1709518617161650312/photo/1,alexanderdecroo,12.0,5.0,28.0,,7589.0,fr,"I discussed the #COP28 with 
@BerTrandPicCard
.

Its foundation 
@Solarimpulse
 Has listed 1000 profitable initiatives to combat global warming.

One point has agreed to us: it is better to panic.",,Alexander De Croo,,,,,,1
22,0,,,51615,1,0,0,2024-02-03,"... a rolnictwo UE 1990-2019, zmniejszyło emisję gazów cieplarnianych o 21 %, a jego udział (382 mln ton), w ogólnych emisjach (3,874 mln ton) był poniżej 10 %. 
Nie w rolnictwie zatem główny problem ani zasadnicze rezerwy. Tym bardziej gdy w grze bezpieczeństwo żywnościowe.","5 replies, 8 reposts, 21 likes, 2 bookmarks, 2551 views",,jwojc,5.0,8.0,21.0,2.0,2551.0,pl,"... and EU agriculture 1990-2019 reduced greenhouse gas emissions by 21 %, and its share (382 million tons), in general emissions (3.874 million tons) was below 10 %. 
Therefore, not in agriculture, the main problem or basic reserves. Especially when in the game food safety.",,Janusz Wojciechowski,Agriculture,01/12/2019,30/11/2024,@jwojc,@EU_Commission,1
23,1,"drastically reducing our dependency on Russian energy, diversifying supplies, sufficient reserves, energy savings and speeding up the shift to renewable energy",leaving a better future for next generations,14748,1,0,0,2023-09-12,"While drastically reducing our dependency on Russian energy, we have doubled down on the promise of leaving a better  for next generations.

Our approach focused on diversifying supplies, sufficient reserves, energy savings and speeding up the shift to renewable energy.

#SOTEU","2 replies, 7 reposts, 14 likes, 3329 views",https://x.com/EU_Commission/status/1701530600979485175/photo/1,EU_Commission,2.0,7.0,14.0,,3329.0,en,"While drastically reducing our dependency on Russian energy, we have doubled down on the promise of leaving a better  for next generations.

Our approach focused on diversifying supplies, sufficient reserves, energy savings and speeding up the shift to renewable energy.

#SOTEU",45515.0,,,,,,,1
24,1,Launched: the EU-Republic of Korea Green Partnership,"fight climate change, protect nature and speed up the green transition",15462,1,0,0,2023-05-22,"Launched: the EU-Republic of Korea Green Partnership 

Together, we will work to fight climate change, protect nature and speed up the green transition.

But that's not all. We're working with global allies  to secure a green future for all.

Read more","55 replies, 60 reposts, 142 likes, 2 bookmarks, 31378 views",,EU_Commission,55.0,60.0,142.0,2.0,31378.0,en,"Launched: the EU-Republic of Korea Green Partnership 

Together, we will work to fight climate change, protect nature and speed up the green transition.

But that's not all. We're working with global allies  to secure a green future for all.

Read more",46229.0,,,,,,,1
25,1,RRF driving the transformation of EU Member State economies,"Revamp their energy systems, support net-zero industries, deliver more structural reforms",65783,1,0,0,2023-02-21,"2 years into its existence, #RRF is driving the transformation of EU Member State economies. 

This performance-based instrument will now also help  Member States to:

Revamp their energy systems 
Support net-zero industries
Deliver more structural reforms

1/2","5 replies, 4 reposts, 6 likes, 3528 views",,VDombrovskis,5.0,4.0,6.0,,3528.0,en,"2 years into its existence, #RRF is driving the transformation of EU Member State economies. 

This performance-based instrument will now also help  Member States to:

Revamp their energy systems 
Support net-zero industries
Deliver more structural reforms

1/2",192853.0,,,,,,,1
26,1,cooperation in fighting the effects of the climate crisis,"discussed how our countries, Iceland and Belgium, can collaborate on innovation and green energy",246773,1,0,0,2022-10-06,"Great meeting with 
@alexanderdecroo
. As we know cooperation in fighting the effects of the climate crisis has never been as urgent, and we discussed how our countries, Iceland and Belgjum, can collaborate on innovation and green energy.","8 replies, 15 reposts, 70 likes, 1 bookmark",https://x.com/katrinjak/status/1578083578881122306/photo/1,katrinjak,8.0,15.0,70.0,1.0,,en,"Great meeting with 
@alexanderdecroo
. As we know cooperation in fighting the effects of the climate crisis has never been as urgent, and we discussed how our countries, Iceland and Belgjum, can collaborate on innovation and green energy.",,,,,,,,1
27,0,,,49480,1,1,1,2022-01-21,"Follow  LIVE citizens’ talks in 
@Europarl_EN
 in Strasbourg on: 

 European Democracy 
 EU in the World 
 Health 
 Climate change and the environment 
 Migration 

#TheFutureIsYours #EUDemocracy","24 replies, 35 reposts, 82 likes",,EU_Commission,24.0,35.0,82.0,,,en,"Follow  LIVE citizens’ talks in 
@Europarl_EN
 in Strasbourg on: 

 European Democracy 
 EU in the World 
 Health 
 Climate change and the environment 
 Migration 

#TheFutureIsYours #EUDemocracy",,,,,,,,1
28,0,,,213445,1,0,0,2022-10-13,O combate às alterações climáticas é um desafio global e urgente e a ciência é um instrumento muito importante para a ação política.,"13 replies, 15 reposts, 63 likes",https://x.com/antoniocostapm/status/1580675973451612160/photo/1,antoniocostapm,13.0,15.0,63.0,,,pt,Combating climate change is a global and urgent challenge and science is a very important instrument for political action.,,,,,,,,1
29,0,,,57187,1,0,0,2023-11-22,"Live | Ομιλία στη #Βουλή σε συζήτηση σε επίπεδο πολιτικών αρχηγών, για την υλοποίηση των πρωτοβουλιών της κυβέρνησης για την ανασυγκρότηση των περιοχών της Θεσσαλίας και του Έβρου, αλλά και την αντιμετώπιση της κλιματικής κρίσης.","34 replies, 65 reposts, 226 likes, 1 bookmark, 14015 views",,PrimeministerGR,34.0,65.0,226.0,1.0,14015.0,el,"Live Speech to the #House at a debate at the level of political leaders, on the implementation of the government's initiatives to reconstruct the regions of Thessaly and Evros, as well as to address the climate crisis.",170715.0,,,,,,,1
30,1,new HR Strategy and step forward on Greening,become climate neutral by 2030 and reduce greenhouse gas emissions by around 60% compared to 2005,117967,1,0,0,2022-04-05,"Together with our new HR Strategy, we also take a step forward on #Greening the 
@EU_Commission
 to become #climate neutral by 2030 - thereby aligning with our political priorities. #EUGreenDeal  
We will reduce our greenhouse gas emissions by around 60% compared to 2005. 2/2","1 reply, 6 reposts, 14 likes",,JHahnEU,1.0,6.0,14.0,,,en,"Together with our new HR Strategy, we also take a step forward on #Greening the 
@EU_Commission
 to become #climate neutral by 2030 - thereby aligning with our political priorities. #EUGreenDeal  
We will reduce our greenhouse gas emissions by around 60% compared to 2005. 2/2",,,,,,,,1
31,1,Todays agreement on NZIA,gives us necessary framework to ensure that our net-zero supply chains are resilient & competitive at home & beyond,22660,1,0,0,2024-02-06,"Achieving #renewables & #energyefficiency targets for 2030 requires a massive roll-out of wind turbines, PV panels, heat pumps & more.

Today’s agreement on #NZIA gives us necessary framework to ensure that our net-zero supply chains are resilient & competitive at home & beyond","7 reposts, 23 likes, 1 bookmark, 2799 views",,KadriSimson,,7.0,23.0,1.0,2799.0,en,"Achieving #renewables & #energyefficiency targets for 2030 requires a massive roll-out of wind turbines, PV panels, heat pumps & more.

Today’s agreement on #NZIA gives us necessary framework to ensure that our net-zero supply chains are resilient & competitive at home & beyond",,Kadri Simson,Energy,01/12/2019,30/11/2024,@KadriSimson,@EU_Commission,1
32,0,,,19694,1,0,0,2023-02-16,"Всички нови коли и микробуси, които ще се продават в ЕС от 2035 г., ще трябва да не емитират въглероден диоксид (CO2). Открийте какво означава това на практика.","1 reply, 5 reposts, 3 likes, 1 bookmark, 514 views",,Europarl_BG,1.0,5.0,3.0,1.0,514.0,bg,All new cars and vans that will be sold in the EU from 2035 will not have to emit carbon dioxide (CO2). Discover what this means in practice.,58603.0,,,,,,,1
33,1,EU emissions system,reduce industrial greenhouse gas emissions,106315,1,0,0,2022-06-24,"Namen sistema EU za trgovanje z izpusti je zmanjšati industrijske izpuste toplogrednih plinov s končnim ciljem, da Unija do sredine stoletja postane ogljično nevtralna . Kako sistem deluje in zakaj je potrebna njegova reforma? Preveri  https://bit.ly/39Su1Qn",,https://x.com/Europarl_SL/status/1540349032798617601/photo/1,Europarl_SL,,,,,,sl,The purpose of the EU emissions system is to reduce industrial greenhouse gas emissions with the final goal that the Union becomes carbon -neutral by the middle of the century. How does the system work and why is its reform needed? Check https://bit.ly/39s1qn,,,,,,,,1
34,0,,,84077,1,0,0,2022-01-22,"Pratite uživo danas od 11 sati predstavljanje preporuka europskog i nacionalnih panela građana i raspravu o klimatskim promjenama i okolišu  http://eptwitter.eu/q5qm

#BuducnostJeVasa 
#TheFutureIsYours","1 repost, 1 like",https://x.com/Europarl_HR/status/1484813838893547520/photo/1,Europarl_HR,,1.0,1.0,,,hr,"Follow live today from 11 o'clock the presentation of the recommendations of European and national panels of citizens and discussion of climate change and environment http://epptwitter.eu/q5qm

#Buducnosty 
#Thefatureisyours",,,,,,,,1
35,0,,,35767,1,0,0,2023-04-20,"Evropska poslanka 
@IJoveva
 o sprejetju zakonodajnega svežnja Pripravljeni na 55 na aprilski #plenarnoEP: “Danes smo korak bliže doseganju ključnega podnebnega cilja, da izpuste toplogrednih plinov do 2030 znižamo za 55 % glede na leto 1990.” Kako? Preverite v videu .","3 replies, 2 reposts, 4 likes, 522 views",,Europarl_SL,3.0,2.0,4.0,,522.0,sl,"MEP 
@IJOVEVA
 On the adoption of the legislative bundle, ready for 55 at April #plenarnoep: ""Today we are a step closer to reaching a key climate goal to reduce greenhouse gas emissions by 55 % over 1990."" How? Check in the video.",105404.0,,,,,,,1
36,0,,,21468,1,0,0,2023-02-28,"Follow live the hearing at 
@EP_Democracy
  on “Climate change disinformation - International disinformation impact on the EU’s climate goals”.

LIVE http://bit.ly/3Iyp2Sh",92 views,https://x.com/Europarl_CY/status/1630575800922566658/photo/1,Europarl_CY,,,,,92.0,en,"Follow live the hearing at 
@EP_Democracy
  on “Climate change disinformation - International disinformation impact on the EU’s climate goals”.

LIVE http://bit.ly/3Iyp2Sh",62782.0,,,,,,,1
37,0,,,59097,1,0,0,2022-06-22,"Днес следобед Европейският парламент провежда пленарно заседание. В програмата: 

намаляване на емисиите на парникови газове
членство в ЕС на Украйна, Молдова и Грузия
обръщение на хърватския премиер Андрей Пленкович

Прочетете повече >>> https://europarl.europa.eu/news/bg/agenda/briefing/2022-06-22…",1 repost,,Europarl_BG,,1.0,,,,bg,"This afternoon, the European Parliament holds a plenary meeting. In the program: 

Reducing greenhouse gas emissions
EU membership of Ukraine, Moldova and Georgia
Croatian Prime Minister Andrei Plenkovich's address

Read more >>> https://europarl.europa.eu/news/en/aGenda/BRIEFING/2022-06-22…",,,,,,,,1
38,1,Children and young people have no future to look into,Children and young people are mistreated,22452,1,0,0,2023-09-08,"“Børn og unge mistrives. Det er indlysende, hvorfor de gør det. De har ikke nogen fremtid at se ind i,” siger 
@MargreteAuken
 og kræver mere klimahandling 

#eudk #soteu #dkgreen","2 reposts, 4 likes, 424 views",https://x.com/Europarl_DK/status/1700029302568354191/photo/1,Europarl_DK,,2.0,4.0,,424.0,da,"""Children and young people are mistreated. It is obvious why they do it. They have no future to look into,"" says 
@Margreteauken
 and requires more climate action 

#eudk #soteu #dkgreen",67049.0,,,,,,,1
39,1,2023 is on track to be the hottest year ever; This summer already broke temperature records globally,The EU will be leading ClimateAction at home and abroad and will push for real progress during COP28,14360,1,0,0,2023-11-09,"2023 is on track to be the hottest year ever.

This summer already broke temperature records globally, according to 
@CopernicusECMWF
.

We can make a difference if we act now. 

The EU will be leading #ClimateAction at home and abroad and will push for real progress during #COP28.","83 replies, 45 reposts, 85 likes, 4 bookmarks, 23986 views",,EU_Commission,83.0,45.0,85.0,4.0,23986.0,en,"2023 is on track to be the hottest year ever.

This summer already broke temperature records globally, according to 
@CopernicusECMWF
.

We can make a difference if we act now. 

The EU will be leading #ClimateAction at home and abroad and will push for real progress during #COP28.",45127.0,,,,,,,1
40,1,MEPs will discuss and vote on the package of legislative proposals at the plenary session of Parliament,allow the EU to become carbon-neutral by 2050 and reduce greenhouse emissions by 55% to 2030,106397,1,0,0,2022-06-05,"Evropski poslanci bodo na plenarnem zasedanju Parlamenta, ki se začenja jutri, razpravljali in glasovali o svežnju zakonodajnih predlogov, ki bodo EU omogočili postati ogljično nevtralna do leta 2050 in zmanjšati toplogredne izpuste za 55% do 2030. Več o tem, kaj prinaša",1 repost,,Europarl_SL,,1.0,,,,sl,"MEPs will discuss and vote on the package of legislative proposals at the plenary session of Parliament tomorrow, which will allow the EU to become carbon -neutral by 2050 and reduce greenhouse emissions by 55% to 2030. More about what it brings",,,,,,,,1
41,1,Maximum temperatures,increased risk of forest fires,219663,1,0,0,2022-07-20,"Máximas temperaturas, máxima precaución por parte de todos
 
Seamos responsables ante el desafío climático al que nos enfrentamos. Los #IIFF amenazan nuestros parajes naturales y destruyen proyectos de vida
 
Sigue este decálogo para reducir el riesgo de incendios forestales","5 replies, 33 reposts, 35 likes, 1 bookmark",,desdelamoncloa,5.0,33.0,35.0,1.0,,es,"Maximum temperatures, maximum precaution by all
 
Let's be responsible for the climate challenge we face. #Iiff threaten our natural places and destroy life projects
 
Follow this decalogue to reduce the risk of forest fires",,,,,,,,1
42,1,those who use ecocide shape the international order,distract climate action and actively endanger it,83965,1,0,0,2023-12-01,"I pointed out that we can't let those who use ecocide shape the international order. They do not just distract climate action – they actively endanger it.

Making sure we end Russia’s aggression and prevent future aggression is therefore also urgent need for the environment. 3/","2 replies, 7 reposts, 62 likes, 6057 views",,kajakallas,2.0,7.0,62.0,,6057.0,en,"I pointed out that we can't let those who use ecocide shape the international order. They do not just distract climate action – they actively endanger it.

Making sure we end Russia’s aggression and prevent future aggression is therefore also urgent need for the environment. 3/",243363.0,,,,,,,1
43,0,,,70838,1,0,0,2022-05-31,"Αν και η ΕΕ είναι ο 3os μεγαλύτερος παραγωγός εκπομπών CO2, έχει τους πιο φιλόδοξους κλιματικούς στόχους, επιδιώκοντας κλιματική ουδετερότητα έως το .

Μάθετε τι ρόλο παίζει το σύστημα εμπορίας εκπομπών της ΕΕ & γιατί χρειάζεται μεταρρύθμιση https://bit.ly/3NMdLi0","1 reply, 5 reposts, 2 likes",https://x.com/Europarl_EL/status/1531635319749152772/photo/1,Europarl_EL,1.0,5.0,2.0,,,el,"Although the EU is the 3OS largest CO2 emission producer, it has the most ambitious climate goals, seeking climate neutrality to.

Find out what role the EU broadcasting system plays & why you need reform https://bit.ly/3nmdli0",,,,,,,,1
44,1,the EU achieve its ambitious emission reduction objectives,"the parliament is working on a faster introduction of greener alternatives, such as renewable energy in buildings heating and cooling transport",94914,1,0,0,2022-09-12,"Om de EU te helpen haar ambitieuze emissiereductiedoelstellingen te halen, werkt het Parlement aan een snellere invoering van groenere alternatieven, zoals hernieuwbare energie in 
 gebouwen
 verwarming en afkoeling
 transport
Meer lezen http://eptwitter.eu/q8C7","1 repost, 2 likes",,Europarl_NL,,1.0,2.0,,,nl,"To help the EU achieve its ambitious emission reduction objectives, the parliament is working on a faster introduction of greener alternatives, such as renewable energy in 
 buildings
 Heating and cooling
 transport
Read more http://eptwitter.eu/q8c7",,,,,,,,1
