custom_id,label,cause,effect,speechText,textEN,speechLanguage,Year,speakerParty,speakerPolGroup,speakerCountry,climate,health,intersection,token_length,sentence_count,has_climate_terms,has_health_terms
12,1,neoliberal reforms,weakened public healthcare systems all over Europe,"  – Mr President, neoliberal reforms have weakened public healthcare systems all over Europe. These reforms have disastrous impacts on the ability of healthcare systems to handle the pandemic. Democratisation of health and long—term care, the push for public—private partnerships and the public spending cuts encouraged by EU economic governance processes like the European Semester have all contributed to the increased commercialisation, privatisation and reduction of health and long—term care services.  A UN Development Programme report examined the effects of healthcare privatisation on COVID-19. It found that a 10% increase in private health expenditure corresponds to a  4.3% increase in COVID cases and a 4.9% increase in COVID—related mortality. The EU needs to end its neoliberal policies, and this is particularly true in the current context of the development of the European Health Union."," Mr President, neoliberal reforms have weakened public healthcare systems all over Europe.",EN,2022,Independents for change,GUE/NGL,Ireland,0,12,0,19,6,FALSE,TRUE
14,1,it,set the Union on a geopolitical scale as a leading health force,"  – Gospa predsednica. Potrebovali smo pandemijo, da je Komisija po trinajstih letih predstavila prenovljeno strategijo globalnega zdravja.  Ampak, dobro, vsaj dobili smo jo. In zastavljena je dobro in bo, če bo uspešno izpeljana, Unijo v geopolitičnem merilu postavila kot vodilno silo na področju zdravstva.  To nedvoumno odločno podpiram, še posebej zato, ker je strategija označena kot zunanji vidik evropske zdravstvene unije.  Zdaj pa, ali to pomeni, da smo resnično, in ne samo idejno, pripravljeni vzpostaviti zdravstveno unijo ter prenesti pristojnosti glede zdravstva z držav članic? Brez tega namreč težko zastavljamo strategije za vzpostavitev učinkovitih zdravstvenih sistemov, medtem ko znotraj Unije ti zelo trpijo, ponekod celo že razpadajo. Verjamem v solidarnost in podpiram pomoč vsem pomoči potrebnim, tudi ali pa predvsem v zdravstvu. Ampak pri uresničevanju strategij ne smemo pozabiti na urejanje lastnih težav.","And it is good and will, if successfully implemented, set the Union on a geopolitical scale as a leading health force.",SL,2023,Gibanje Svoboda,Renew Europe Group,Slovenia,0,9,0,28,9,FALSE,TRUE
15,0,,,"  – Κυρία Πρόεδρε, Αντιπρόεδρε Šefčovič, αν κάποιος αναζητήσει τρεις όρους για να περιγράψει τα αίτια της τραγωδίας στην Αυστραλία, θα μπορούσε να μιλήσει για «αδράνεια», «υπερεκμετάλλευση» και «κυνισμό». Στην Αυστραλία, τον Δεκέμβριο του 2018, οι ετήσιες εκπομπές των ρύπων του θερμοκηπίου αυξήθηκαν κατά 558 εκατομμύρια τόνους ισοδύναμους του διοξειδίου του άνθρακα. Η Αυστραλία επιμένει να αρνείται στην πράξη την κλιματική αλλαγή και για αυτό η παραγωγή του ηλεκτρικού της ρεύματος προέρχεται κατά 60% από άνθρακα. Υπάρχουν άνθρωποι, και μέσα εδώ, στο Ευρωπαϊκό Κοινοβούλιο, που αρνούνται την ύπαρξη της κλιματικής αλλαγής· ευτυχώς όμως για όλους, είναι περιθωριοποιημένοι. Η τραγωδία στην Αυστραλία μπορεί να είναι καταλύτης στις εξωτερικές μας σχέσεις ως Ευρωπαϊκή Ένωση. Ως πρωτοπόροι στην αντιμετώπιση της κλιματικής αλλαγής οφείλουμε να διευρύνουμε και να στηρίξουμε τη συμμαχία των προθύμων (χωρών, περιφερειών και βιομηχανιών) που εργάζονται για την εφαρμογή της Συμφωνίας του Παρισιού. Η Πράσινη Συμφωνία μπορεί να είναι το νέο εργαλείο αλλά και το βαρύ οικονομικό μας όπλο. Είναι η ώρα να δράσουμε στο όνομα των πολλών. Προλαβαίνοντας άλλη μια τραγωδία και δίνοντας προοπτική νέας ανάπτυξης, με νέες βιώσιμες δουλειές που θα υποστηρίξουν τη βιωσιμότητα του πλανήτη. ","In Australia, in December 2018, the annual greenhouse emissions increased by 558 million tonnes of carbon dioxide equivalents.",EL,2020,Nea Demokratia,EPP,Greece,5,0,0,25,9,TRUE,FALSE
16,0,,,"  – Madame la Présidente, Monsieur le Commissaire, nos concitoyens européens viennent de vivre une année de crises sanitaire, sociale, économique. C’est évident que nous ne pouvons pas mener le Semestre européen et appliquer les règles de stabilité comme nous le faisions avant. Cette position a été défendue et adoptée à une très large majorité dans l’avis de la commission des budgets sur le Semestre européen. Ce Semestre européen est bien sûr essentiel à la convergence des politiques économiques nécessaires au fonctionnement du marché intérieur mais depuis sa création, de nombreux défis ont émergé. C’est pour cela que nous appelons en commission des budgets, à une meilleure prise en compte des questions sociales en lien avec la reprise de l’emploi, de la priorité environnementale, d’une plus grande coordination fiscale, de la réduction de la pauvreté et de l’égalité des sexes. À cet égard, je voudrais dire avec ma collègue Sylvie Brunet qu’il est prioritaire de réduire significativement les écarts qui existent en matière d’emploi entre les femmes et les hommes, ainsi que d’améliorer la situation des jeunes qui ne sont ni en études ni en emploi. Il est prioritaire également de lutter contre la pauvreté et l’exclusion sociale, d’en traiter les causes profondes. Nous devons aussi porter une attention aux conditions de travail de certains travailleurs mis à rude épreuve et qui nous ont été indispensables pendant la crise. Ce rebond, cette nouvelle impulsion, pourra s’appuyer sur un budget pluriannuel et un plan de relance européen ambitieux, offrant aux États membres des possibilités de financement en faveur de la dimension environnementale et sociale de l’Union européenne.","Madam President, Mr. Commissioner, our European fellow citizens have just experienced a year of health, social, economic crises.",FR,2021,Renaissance,Renew Europe Group,France,0,1,0,27,9,FALSE,TRUE
18,0,,,"  – Señora presidenta, señora Zacarias, señor comisario, estimados compañeros, el turismo es uno de los pilares básicos de la economía europea y es clave para el mercado único. Nos jugamos dos millones de empresas, doce millones de empleos y un 10,3 % del PIB de la Unión.  Los más afectados, los de siempre: los ciudadanos, las pymes y los autónomos, también las regiones insulares y las regiones periféricas. Solo en España, en 2020 perdimos 64 millones de turistas y más de 100 000 millones de euros de facturación. Hoy estamos a tiempo de salvar todavía el verano de 2021.  En el Parlamento y la Comisión Europea hemos propuesto medidas para agilizar la movilidad y, por tanto, reactivar el turismo. Ahora que ya tenemos la vacuna, los Estados miembros tienen que ponerse de acuerdo. Pueden empezar adoptando, por ejemplo, medidas coordinadas con el certificado verde digital. Estamos aquí para aportar soluciones. Debemos superar el falso debate que enfrenta economía y salud; no son incompatibles. Les pongo un ejemplo: en Madrid, hemos mantenido la economía a flote con la hostelería, comercios, teatros y museos abiertos, y unas cifras de incidencia mucho más bajas que en otras capitales europeas, donde todo sigue cerrado desde octubre.  Para minimizar el impacto de 2021, los Estados miembros tienen que coordinarse y adoptar medidas conjuntas. Les anuncio que, desde la delegación española del Grupo del Partido Popular Europeo, vamos a presentar una batería de preguntas al Consejo exigiendo medidas coordinadas y eficaces. Nosotros nos tomamos muy en serio la salud, también la economía, el turismo y los derechos fundamentales. Los Estados miembros tienen que reaccionar con urgencia. No tenemos tiempo que perder. La Unión Europea necesita salvar la campaña del verano 2021. ",We must overcome the false debate facing economics and health; They are not incompatible.,ES,2021,Partido Popular,Group of the European People's Party (Christian Democrats),Spain,0,2,0,18,17,FALSE,TRUE
19,0,,,"  – Madam President, these gases have a huge global warming impact and need to be phased out as soon as possible.  I want to address some concerns raised by the heat pump associations that the quota available in the regulation will hamper the rollout of heat pumps. Now, the heat pump industry will be central to the decarbonisation of the EU. But their concerns have already been addressed by the Commission in its impact assessment and technical discussions.  Simply giving an even bigger quota is not the solution. Quotas are not allocated to any specific sector. Therefore, the heat pump manufacturers would receive only a small fraction of any additional quota that would have been distributed.  The Environmental Committee report explicitly provides a REPowerEU reserve for heat pumps, which means that the Commission will be able to give additional quotas to heat pump manufacturers if any shortages arise that might derail heat pump installation targets.  Now, but the derogation for military equipment is an absolute joke. So the sector causing untold damage to the planet are getting a free pass. This is madness. ","Now, the heat pump industry will be central to the decarbonisation of the EU.",EN,2023,Independents for change,GUE/NGL,Ireland,2,0,0,21,11,TRUE,FALSE
20,0,,,"  – Señora presidenta, necesitamos más liderazgo y más coordinación y seguir trabajando con la evidencia científica para dar una respuesta eficaz a esta emergencia que pone a prueba todo lo que significa Europa.  Nuestro primer objetivo es contener la propagación del virus para proteger a la población, como ya lo están consiguiendo los países asiáticos.  Nuestro segundo objetivo es dar soluciones ante el impacto sanitario, social y económico. En el ámbito sanitario, debemos priorizar proteger a la población más vulnerable: mayores, enfermos crónicos y otros enfermos. También debemos proteger a todo el personal sanitario y de seguridad, porque tienen más potencial de riesgo. Debemos fortalecer con recursos económicos los sistemas sanitarios para garantizar sus plantillas y los servicios de emergencia, urgencia, atención primaria y atención domiciliaria, y también para continuar atendiendo a los pacientes de otras enfermedades. También debemos poner en marcha compras centralizadas de material de protección, de diagnóstico y de tratamiento.  El coronavirus no se frena con alarmismo ni con miedo, sino con inteligencia, unidad y responsabilidad. Por ello, para evitar una depresión económica con consecuencias devastadoras para el empleo, el Partido Popular ha presentado un plan de choque con medidas económicas y de conciliación para ayudar a las familias, a los trabajadores y a los sectores económicos más afectados, como son el sector servicios, el turístico, el hotelero, el industrial, los autónomos y las pymes. Exigimos al Gobierno de España, al Consejo, que se reúne esta tarde, y a la Comisión que hagan uso de todos los recursos financieros disponibles para paliar los efectos negativos en la economía y que ayuden a fortalecer los sistemas sanitarios y los sistemas de comunicación.","Our second objective is to give solutions to the health, social and economic impact.",ES,2020,Partido Popular,Group of the European People's Party (Christian Democrats),Spain,0,7,0,18,10,FALSE,TRUE
21,0,,,"  – Mr President, I think we definitely should look at preparedness in terms of a new pandemic. I certainly never want to see the horrific images of Italy being abandoned as it was at the start of the outbreak. But one of the major lessons that we have learned is that infectious disease surveillance and research has declined. Another lesson is, of course, the commodification of health care, which actually poses a real risk to the ability of our systems to cope with a new pandemic. Unless we address these, the path we’re on will not help to deal with future outbreaks.  We’ve got to get to a situation where we fund science and allow research to be independent of any private or commercial interests, and we have to improve transparency in the activities of the EU administration. So, to date, the fact that the Ombudsman’s request remains unanswered concerning Ursula von der Leyen’s text messages with the head of Pfizer is not acceptable. It’s not acceptable that these messages haven’t been maintained and it’s not acceptable, as the Ombudswoman has said, that there is maladministration. So the amount and quality of information in contracts has to be improved.","– Mr President, I think we definitely should look at preparedness in terms of a new pandemic.",EN,2022,Independents for change,GUE/NGL,Ireland,0,4,0,24,9,FALSE,TRUE
22,0,,,"  – Madame la Présidente, merci pour vos mots. La nouvelle est tombée au cœur de l’été comme un coup de tonnerre: Véronique nous a quittés. La plupart d’entre nous ignoraient qu’elle souffrait de la maladie qu’elle a combattu toute sa vie comme médecin et comme parlementaire européenne. Nous étions loin de nous douter qu’en s’investissant autant pour le plan cancer, Véronique nous adressait un signe, nous partageait son testament et nous demandait de reprendre le flambeau. La discrétion avec laquelle Véronique a choisi de faire face à la maladie, et sa détermination aussi à s’investir jusqu’au bout dans son mandat, disent beaucoup d’elle. Véronique était faite pour être députée européenne, comme elle était faite pour soigner les autres. Ses patients, ses collègues médecins, ses amis se souviennent tous de son mélange d’empathie et de rigueur, de bienveillance et de souci de nommer les choses par leur nom, de regarder la réalité en face, et de faire une claire distinction entre la science et les croyances. Jamais elle n’a renoncé à suivre ses patients en dépit de son mandat de député. Au Parlement européen, elle était arrivée avec une intuition forte: l’idée qu’il était temps de bâtir l’Europe de la santé. La pandémie lui a donné raison et nous avons tous pu voir la force de ses convictions, mais aussi sa capacité d’écoute, de dialogue, de compréhension et de compromis. Très vite, Véronique avait compris qu’ici, on ne gagne pas de bataille seuls, mais en ralliant les autres, dans son camp et aussi au-delà. Ceux qui la pleurent aujourd’hui dans cette salle ne sont pas seulement français, pas seulement membres de Renew Europe. Ils sont allemands, roumains, néerlandais, espagnols. Ils viennent de presque toutes les couleurs politiques. Je dis presque, car elle avait en horreur les extrêmes et parmi eux, les complotistes de la santé qu’elle a combattus jusqu’à son dernier souffle. Le combat politique ne faisait pas peur à Véronique. Celui pour les droits des femmes, pas davantage. Elle était une femme forte et fragile, déterminée et souriante, rigoureuse et philosophe sur la nature humaine. Notre Parlement, notre groupe politique, notre délégation ont eu de la chance de l’avoir pour collègues. Comme plusieurs d’entre nous, j’ai eu de la chance de l’avoir pour amie.",Most of us ignored that she was suffering from the disease that she fought all her life as a doctor and as a European parliamentary.,FR,2023,Horizons,Renew Europe Group,France,0,5,0,28,20,FALSE,TRUE
23,0,,,"  – Patvarieji organiniai teršalai dėl išskirtinai neigiamo poveikio aplinkai ir žmonių sveikatai privalo būti atitinkamai reglamentuojami ir nuolat vertinami. Priimant sprendimus reikėtų atsižvelgti į tai, kad patvarieji organiniai teršalai ne tik ilgai nesuyra, bet ir gali pasklisti toli nuo savo šaltinio bei atsidurti kitose valstybėse. Ne veltui nuo pastarųjų apsaugoti žmonių sveikatą ir aplinką yra priimta Stokholmo konvencija. Tikiu, kad svarstomas pasiūlymas yra tinkamas siekiant žaliojo kurso tikslų. Turėtų būti skatinamas tik toks perdirbimas, kuris užtikrintų netoksiškų medžiagų ciklus. Neturi būti pateisinamas žalingų ir pavojingų cheminių medžiagų įtraukimas į perdirbimo procesus, kuomet naudojimui ir vartojimui sugrįžtų aptariamos pavojų sveikatai keliančios medžiagos. Teisinga yra orientuotis į tai, kad nustatomos ribinės vertės būtų suderinamos su mokslo ir technikos pažanga. Taip pat vertėtų ieškoti visų įmanomų būdų, kurie galėtų užtikrinti pažangių atliekų rūšiavimo ir nuodingųjų medžiagų pašalinimo iš jų technologijų skatinimą, remtis mokslu ir investuoti į tai. Paremdami teikiamą pasiūlymą, užtikrinsime geresnį patvarių organinių teršalų ir ES žaliojo kurso tikslų suderinamumą.",The involvement of harmful and dangerous chemicals in recycling processes should not be justified when the health -friendly substances in question return to use and consumption.,LT,2022,Tėvynės sąjunga-Lietuvos krikščionys demokratai,Group of the European People's Party (Christian Democrats),Lithuania,0,4,0,30,9,FALSE,TRUE
